日期,股票代码,名称,收盘价
2022-05-18,'600519,贵州茅台,1761.0
2022-05-17,'600519,贵州茅台,1768.0
2022-05-16,'600519,贵州茅台,1758.0
2022-05-13,'600519,贵州茅台,1778.24
2022-05-12,'600519,贵州茅台,1762.67
2022-05-11,'600519,贵州茅台,1768.0
2022-05-10,'600519,贵州茅台,1766.19
2022-05-09,'600519,贵州茅台,1752.0
2022-05-06,'600519,贵州茅台,1793.0
2022-05-05,'600519,贵州茅台,1837.0
2022-04-29,'600519,贵州茅台,1828.38
2022-04-28,'600519,贵州茅台,1835.0
2022-04-27,'600519,贵州茅台,1794.92
2022-04-26,'600519,贵州茅台,1732.48
2022-04-25,'600519,贵州茅台,1708.0
2022-04-22,'600519,贵州茅台,1773.0
2022-04-21,'600519,贵州茅台,1779.98
2022-04-20,'600519,贵州茅台,1797.0
2022-04-19,'600519,贵州茅台,1790.3
2022-04-18,'600519,贵州茅台,1790.82
2022-04-15,'600519,贵州茅台,1805.99
2022-04-14,'600519,贵州茅台,1809.0
2022-04-13,'600519,贵州茅台,1769.0
2022-04-12,'600519,贵州茅台,1782.0
2022-04-11,'600519,贵州茅台,1720.0
2022-04-08,'600519,贵州茅台,1784.0
2022-04-07,'600519,贵州茅台,1765.0
2022-04-06,'600519,贵州茅台,1765.0
2022-04-01,'600519,贵州茅台,1780.01
2022-03-31,'600519,贵州茅台,1719.0
2022-03-30,'600519,贵州茅台,1730.1
2022-03-29,'600519,贵州茅台,1667.0
2022-03-28,'600519,贵州茅台,1660.8
2022-03-25,'600519,贵州茅台,1690.0
2022-03-24,'600519,贵州茅台,1720.93
2022-03-23,'600519,贵州茅台,1752.19
2022-03-22,'600519,贵州茅台,1695.0
2022-03-21,'600519,贵州茅台,1704.3
2022-03-18,'600519,贵州茅台,1707.79
2022-03-17,'600519,贵州茅台,1720.15
2022-03-16,'600519,贵州茅台,1674.95
2022-03-15,'600519,贵州茅台,1603.0
2022-03-14,'600519,贵州茅台,1700.0
2022-03-11,'600519,贵州茅台,1769.01
2022-03-10,'600519,贵州茅台,1794.43
2022-03-09,'600519,贵州茅台,1779.18
2022-03-08,'600519,贵州茅台,1753.2
2022-03-07,'600519,贵州茅台,1707.0
2022-03-04,'600519,贵州茅台,1780.5
2022-03-03,'600519,贵州茅台,1800.0
2022-03-02,'600519,贵州茅台,1844.88
2022-03-01,'600519,贵州茅台,1858.48
2022-02-28,'600519,贵州茅台,1790.4
2022-02-25,'600519,贵州茅台,1799.06
2022-02-24,'600519,贵州茅台,1764.11
2022-02-23,'600519,贵州茅台,1827.01
2022-02-22,'600519,贵州茅台,1807.87
2022-02-21,'600519,贵州茅台,1876.99
2022-02-18,'600519,贵州茅台,1907.0
2022-02-17,'600519,贵州茅台,1886.99
2022-02-16,'600519,贵州茅台,1892.55
2022-02-15,'600519,贵州茅台,1890.62
2022-02-14,'600519,贵州茅台,1868.67
2022-02-11,'600519,贵州茅台,1849.97
2022-02-10,'600519,贵州茅台,1873.0
2022-02-09,'600519,贵州茅台,1895.98
2022-02-08,'600519,贵州茅台,1839.0
2022-02-07,'600519,贵州茅台,1867.96
2022-01-28,'600519,贵州茅台,1887.0
2022-01-27,'600519,贵州茅台,1965.0
2022-01-26,'600519,贵州茅台,1955.0
2022-01-25,'600519,贵州茅台,1943.0
2022-01-24,'600519,贵州茅台,1950.2
2022-01-21,'600519,贵州茅台,1984.99
2022-01-20,'600519,贵州茅台,1969.52
2022-01-19,'600519,贵州茅台,1912.0
2022-01-18,'600519,贵州茅台,1892.27
2022-01-17,'600519,贵州茅台,1861.61
2022-01-14,'600519,贵州茅台,1867.0
2022-01-13,'600519,贵州茅台,1877.39
2022-01-12,'600519,贵州茅台,1967.0
2022-01-11,'600519,贵州茅台,1940.55
2022-01-10,'600519,贵州茅台,1966.0
2022-01-07,'600519,贵州茅台,1942.0
2022-01-06,'600519,贵州茅台,1982.22
2022-01-05,'600519,贵州茅台,2024.0
2022-01-04,'600519,贵州茅台,2051.23
2021-12-31,'600519,贵州茅台,2050.0
2021-12-30,'600519,贵州茅台,2075.0
2021-12-29,'600519,贵州茅台,2041.0
2021-12-28,'600519,贵州茅台,2138.18
2021-12-27,'600519,贵州茅台,2131.82
2021-12-24,'600519,贵州茅台,2194.09
2021-12-23,'600519,贵州茅台,2120.0
2021-12-22,'600519,贵州茅台,2048.0
2021-12-21,'600519,贵州茅台,2038.2
2021-12-20,'600519,贵州茅台,2058.96
2021-12-17,'600519,贵州茅台,2050.7
2021-12-16,'600519,贵州茅台,2118.99
2021-12-15,'600519,贵州茅台,2135.0
2021-12-14,'600519,贵州茅台,2150.0
2021-12-13,'600519,贵州茅台,2118.2
2021-12-10,'600519,贵州茅台,2090.0
2021-12-09,'600519,贵州茅台,2086.55
2021-12-08,'600519,贵州茅台,2043.0
2021-12-07,'600519,贵州茅台,1955.87
2021-12-06,'600519,贵州茅台,1967.3
2021-12-03,'600519,贵州茅台,1971.88
2021-12-02,'600519,贵州茅台,1934.0
2021-12-01,'600519,贵州茅台,1932.99
2021-11-30,'600519,贵州茅台,1930.77
2021-11-29,'600519,贵州茅台,1985.0
2021-11-26,'600519,贵州茅台,1941.01
2021-11-25,'600519,贵州茅台,1956.03
2021-11-24,'600519,贵州茅台,1941.0
2021-11-23,'600519,贵州茅台,1896.43
2021-11-22,'600519,贵州茅台,1854.27
2021-11-19,'600519,贵州茅台,1828.41
2021-11-18,'600519,贵州茅台,1792.0
2021-11-17,'600519,贵州茅台,1795.0
2021-11-16,'600519,贵州茅台,1808.0
2021-11-15,'600519,贵州茅台,1761.14
2021-11-12,'600519,贵州茅台,1773.78
2021-11-11,'600519,贵州茅台,1769.6
2021-11-10,'600519,贵州茅台,1753.99
2021-11-09,'600519,贵州茅台,1790.01
2021-11-08,'600519,贵州茅台,1820.1
2021-11-05,'600519,贵州茅台,1819.94
2021-11-04,'600519,贵州茅台,1804.2
2021-11-03,'600519,贵州茅台,1765.0
2021-11-02,'600519,贵州茅台,1804.64
2021-11-01,'600519,贵州茅台,1803.0
