日期,股票代码,名称,收盘价
2022-11-25,'300750,宁德时代,372.2
2022-11-24,'300750,宁德时代,376.62
2022-11-23,'300750,宁德时代,379.52
2022-11-22,'300750,宁德时代,375.0
2022-11-21,'300750,宁德时代,382.4
2022-11-18,'300750,宁德时代,380.79
2022-11-17,'300750,宁德时代,375.12
2022-11-16,'300750,宁德时代,384.07
2022-11-15,'300750,宁德时代,396.18
2022-11-14,'300750,宁德时代,387.18
2022-11-11,'300750,宁德时代,402.48
2022-11-10,'300750,宁德时代,385.3
2022-11-09,'300750,宁德时代,397.06
2022-11-08,'300750,宁德时代,409.8
2022-11-07,'300750,宁德时代,410.5
2022-11-04,'300750,宁德时代,404.4
2022-11-03,'300750,宁德时代,384.12
2022-11-02,'300750,宁德时代,391.5
2022-11-01,'300750,宁德时代,386.2
2022-10-31,'300750,宁德时代,372.88
2022-10-28,'300750,宁德时代,365.5
2022-10-27,'300750,宁德时代,390.3
2022-10-26,'300750,宁德时代,401.06
2022-10-25,'300750,宁德时代,401.7
2022-10-24,'300750,宁德时代,404.02
2022-10-21,'300750,宁德时代,413.0
2022-10-20,'300750,宁德时代,415.0
2022-10-19,'300750,宁德时代,431.34
2022-10-18,'300750,宁德时代,429.54
2022-10-17,'300750,宁德时代,429.35
2022-10-14,'300750,宁德时代,436.91
2022-10-13,'300750,宁德时代,432.0
2022-10-12,'300750,宁德时代,437.83
2022-10-11,'300750,宁德时代,416.3
2022-10-10,'300750,宁德时代,392.86
2022-09-30,'300750,宁德时代,400.89
2022-09-29,'300750,宁德时代,419.0
2022-09-28,'300750,宁德时代,416.79
2022-09-27,'300750,宁德时代,429.5
2022-09-26,'300750,宁德时代,428.66
2022-09-23,'300750,宁德时代,417.34
2022-09-22,'300750,宁德时代,414.99
2022-09-21,'300750,宁德时代,420.3
2022-09-20,'300750,宁德时代,421.01
2022-09-19,'300750,宁德时代,413.67
2022-09-16,'300750,宁德时代,410.0
2022-09-15,'300750,宁德时代,414.35
2022-09-14,'300750,宁德时代,434.3
2022-09-13,'300750,宁德时代,456.91
2022-09-09,'300750,宁德时代,452.22
2022-09-08,'300750,宁德时代,449.5
2022-09-07,'300750,宁德时代,473.92
2022-09-06,'300750,宁德时代,455.2
2022-09-05,'300750,宁德时代,468.36
2022-09-02,'300750,宁德时代,466.26
2022-09-01,'300750,宁德时代,467.54
2022-08-31,'300750,宁德时代,483.0
2022-08-30,'300750,宁德时代,491.5
2022-08-29,'300750,宁德时代,502.0
2022-08-26,'300750,宁德时代,506.78
2022-08-25,'300750,宁德时代,514.0
2022-08-24,'300750,宁德时代,524.0
2022-08-23,'300750,宁德时代,556.89
2022-08-22,'300750,宁德时代,551.53
2022-08-19,'300750,宁德时代,532.0
2022-08-18,'300750,宁德时代,544.8
2022-08-17,'300750,宁德时代,547.0
2022-08-16,'300750,宁德时代,523.8
2022-08-15,'300750,宁德时代,516.1
2022-08-12,'300750,宁德时代,502.0
2022-08-11,'300750,宁德时代,510.0
2022-08-10,'300750,宁德时代,503.98
2022-08-09,'300750,宁德时代,511.56
2022-08-08,'300750,宁德时代,501.5
2022-08-05,'300750,宁德时代,505.65
2022-08-04,'300750,宁德时代,500.9
2022-08-03,'300750,宁德时代,504.0
2022-08-02,'300750,宁德时代,523.87
2022-08-01,'300750,宁德时代,534.92
2022-07-29,'300750,宁德时代,508.6
2022-07-28,'300750,宁德时代,515.6
2022-07-27,'300750,宁德时代,515.2
2022-07-26,'300750,宁德时代,522.0
2022-07-25,'300750,宁德时代,521.75
2022-07-22,'300750,宁德时代,532.0
2022-07-21,'300750,宁德时代,521.0
2022-07-20,'300750,宁德时代,526.0
2022-07-19,'300750,宁德时代,524.61
2022-07-18,'300750,宁德时代,551.66
2022-07-15,'300750,宁德时代,533.0
2022-07-14,'300750,宁德时代,556.01
2022-07-13,'300750,宁德时代,539.0
2022-07-12,'300750,宁德时代,503.69
2022-07-11,'300750,宁德时代,518.5
2022-07-08,'300750,宁德时代,541.0
2022-07-07,'300750,宁德时代,550.0
2022-07-06,'300750,宁德时代,522.0
2022-07-05,'300750,宁德时代,523.87
2022-07-04,'300750,宁德时代,522.0
2022-07-01,'300750,宁德时代,522.64
2022-06-30,'300750,宁德时代,534.0
2022-06-29,'300750,宁德时代,532.54
2022-06-28,'300750,宁德时代,544.0
2022-06-27,'300750,宁德时代,549.0
2022-06-24,'300750,宁德时代,563.5
2022-06-23,'300750,宁德时代,536.97
2022-06-22,'300750,宁德时代,507.0
2022-06-21,'300750,宁德时代,507.85
2022-06-20,'300750,宁德时代,506.52
2022-06-17,'300750,宁德时代,486.06
2022-06-16,'300750,宁德时代,460.3
2022-06-15,'300750,宁德时代,465.66
2022-06-14,'300750,宁德时代,441.82
2022-06-13,'300750,宁德时代,443.03
2022-06-10,'300750,宁德时代,454.0
2022-06-09,'300750,宁德时代,431.35
2022-06-08,'300750,宁德时代,460.0
2022-06-07,'300750,宁德时代,459.0
2022-06-06,'300750,宁德时代,465.99
2022-06-02,'300750,宁德时代,436.8
2022-06-01,'300750,宁德时代,425.03
2022-05-31,'300750,宁德时代,408.0
2022-05-30,'300750,宁德时代,401.8
2022-05-27,'300750,宁德时代,394.4
2022-05-26,'300750,宁德时代,390.01
2022-05-25,'300750,宁德时代,398.98
2022-05-24,'300750,宁德时代,402.04
2022-05-23,'300750,宁德时代,416.7
